TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
5521,エディオン 大山シティ店,OPEN,,沖縄県,901-2223,沖縄県,宜野湾市,大山7-1-2,,,
8119,エディオン しおざきシティ店,OPEN,,沖縄県,901-0364,沖縄県,糸満市,潮崎町2-2,,,
7831,楽天モバイル イオンモール沖縄ライカム店,OPEN,,沖縄県,901-2306,沖縄県,中頭郡,北中城村字ライカム1番地,,,
4411,エディオン 西原シティ店,OPEN,,沖縄県,903-0102,沖縄県,中頭郡,西原町字嘉手苅130,,,
8121,エディオン つかざんシティ店,OPEN,,沖縄県,901-1117,沖縄県,島尻郡,南風原町津嘉山1471-2,,,
6831,コジマ×ビックカメラ 那覇店,OPEN,,沖縄県,900-0003,沖縄県,那覇市,安謝664-5,,,
1461,エディオン 那覇メインプレイス店,OPEN,,沖縄県,900-0006,沖縄県,那覇市,おもろまち4-4-9,,,
8254,エディオン 豊見城ウイングシティ店,OPEN,,沖縄県,901-0242,沖縄県,豊見城市,字高安261-2,,,
7121,エディオン 為又シティ店,OPEN,,沖縄県,905-0005,沖縄県,名護市,為又904-5,,,
6881,楽天モバイル イオンモール盛岡南店,OPEN,,岩手県,020-0866,岩手県,盛岡市,本宮7丁目1-1,,,
4481,エディオン 可児今渡店,OPEN,,岐阜県,509-0207,岐阜県,可児市,今渡840-2,,,
2091,楽天モバイル ジョーシンギア 各務原イオンモール店,OPEN,,岐阜県,504-0943,岐阜県,各務原市,那加萱場町3-8,,,
7921,楽天モバイル カラフルタウン岐阜店,OPEN,,岐阜県,501-6115,岐阜県,岐阜市,柳津町丸野3丁目3番地6号,,,
5401,エディオン 多治見インター店,OPEN,,岐阜県,507-0051,岐阜県,多治見市,西坂町5-31-1,,,
3621,ジョーシン 多治見店,OPEN,,岐阜県,507-0022,岐阜県,多治見市,上山町1-176,,,
8295,エディオン 大垣ベルプラザ店,OPEN,,岐阜県,503-0026,岐阜県,大垣市,室村町3-74-5,,,
6581,楽天モバイル イオンモール大垣店,OPEN,,岐阜県,503-0933,岐阜県,大垣市,外野2丁目100番地,,,
3471,ジョーシン 大垣イオンモール店,OPEN,,岐阜県,503-0933,岐阜県,大垣市,外野2-100,,,
8440,楽天モバイル イオンモール土岐店,OPEN,,岐阜県,509-5122,岐阜県,土岐市,土岐津町土岐口1372番地1,,,
8296,エディオン モレラ岐阜店,OPEN,,岐阜県,501-0406,岐阜県,本巣市,三橋1100,,,
1971,楽天モバイル モレラ岐阜店,OPEN,,岐阜県,501-0406,岐阜県,本巣市,三橋1100,,,
8429,楽天モバイル イオン延岡SC店,OPEN,,宮崎県,882-0847,宮崎県,延岡市,旭町2丁目2-1,,,
5721,楽天モバイル イオンモール宮崎店,OPEN,,宮崎県,880-0834,宮崎県,宮崎市,新別府町江口862-1,,,
2331,エディオン 宮崎本店,OPEN,,宮崎県,880-0905,宮崎県,宮崎市,中村西3-94-1,,,
7997,楽天モバイル イオンモール都城駅前店,OPEN,,宮崎県,885-0023,宮崎県,都城市,栄町4672-5,,,
5411,エディオン 都城吉尾店,OPEN,,宮崎県,885-0006,宮崎県,都城市,吉尾町6099,,,
7838,楽天モバイル イオンモール新利府南館店,OPEN,,宮城県,981-0114,宮城県,宮城郡,利府町新中道3丁目1-1,,,
8213,楽天モバイル ララガーデン長町店,OPEN,,宮城県,982-0011,宮城県,仙台市,太白区長町7丁目20-５,,,
6791,楽天モバイル 仙台一番町店,OPEN,,宮城県,980-0811,宮城県,仙台市,青葉区一番町3-10-24,,,
6151,楽天モバイル イオンモール名取店,OPEN,,宮城県,981-1294,宮城県,名取市,杜せきのした5丁目3-1,,,
3211,ジョーシン 宇治店,OPEN,,京都府,611-0021,京都府,宇治市,宇治樋ノ尻79-1,,,
3481,ジョーシン 亀岡店,OPEN,,京都府,621-0806,京都府,亀岡市,余部町樋又80番地,,,
6501,楽天モバイル イオンモール久御山店,OPEN,,京都府,613-0024,京都府,久世郡,久御山町森南大内156-1,,,
8202,楽天モバイル MOMOテラス店,OPEN,,京都府,612-8002,京都府,京都市,伏見区桃山町山ノ下32,,,
8176,楽天モバイル 伏見大手筋店,OPEN,,京都府,612-8053,京都府,京都市,伏見区東大手町756番地,,,
8130,楽天モバイル 洛北阪急スクエア店,OPEN,,京都府,606-8103,京都府,京都市,左京区高野西開町36,,,
7745,エディオン 京都四条河原町店,OPEN,,京都府,600-8001,京都府,京都市,下京区四条通河原町東入真町68,,,
7511,楽天モバイル 京都四条通店,OPEN,,京都府,600-8006,京都府,京都市,下京区四条通柳馬場西入立売中之町105番地,,,
5761,楽天モバイル イオンモール京都五条店,OPEN,,京都府,615-0035,京都府,京都市,右京区西院追分町25-1,,,
5441,エディオン 京都ファミリー店,OPEN,,京都府,615-0072,京都府,京都市,右京区山ノ内池尻町1-1,,,
5251,エディオン 六地蔵MOMOテラス店,OPEN,,京都府,612-8002,京都府,京都市,伏見区桃山町山ノ下32,,,
