TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
2161,楽天モバイル 東京八重洲地下街店,OPEN,2017/4/21,東京都,104-0028,東京都,中央区,八重洲2-1,PS,ITX,ITX株式会社
2171,楽天モバイル 梅田阪急三番街店,OPEN,2017/4/27,大阪府,530-0012,大阪府,大阪市,北区芝田1-1-3,PS,T-GAIA,T-GAIA
2181,楽天モバイル 千里中央イオンSENRITO店,OPEN,2017/4/21,大阪府,560-0082,大阪府,豊中市,新千里東町1-1-3,PS,T-GAIA,T-GAIA
2201,楽天モバイル イオンモール徳島店,OPEN,2017/4/24,徳島県,770-0865,徳島県,徳島市,南末広町4番1号,PS,CNX,コネクシオ
2211,楽天モバイル グランツリー武蔵小杉店,OPEN,2017/4/27,神奈川県,211-0004,神奈川県,川崎市,中原区新丸子東3丁目1135-1,PS,アルファグループ,アルファグループ
2221,楽天モバイル 中野サンモール店,OPEN,2017/4/28,東京都,164-0001,東京都,中野区,中野5-64-10,PS,D-POPS,D-POPS
2231,エディオン 蔦屋家電,OPEN,2017/4/14,広島県,732-0822,広島県,広島市,南区松原町3番1-1号,CES,リクルートスタッフィング,株式会社エディオン
2251,エディオン イオンモール長久手店,OPEN,2017/4/20,愛知県,480-1100,愛知県,長久手市,長久手中央土地区画整理事業地内5・10・11街区,CES,リクルートスタッフィング,株式会社エディオン
2261,エディオン イオンモール福津店,OPEN,2017/6/16,福岡県,811-3209,福岡県,福津市,日蒔野6丁目16番地-1,CES,パーソルマーケティング,株式会社エディオン
2271,エディオン 東広島本店,OPEN,2017/4/27,広島県,739-0024,広島県,東広島市,西条町御薗宇4598-1,CES,リクルートスタッフィング,株式会社エディオン
2281,エディオン 福山本店,OPEN,2017/4/27,広島県,720-0801,広島県,福山市,入船町一丁目8-15,CES,ウィルオブ・ワーク,株式会社エディオン
2321,ケーズデンキ ふじみ野店,OPEN,2017/5/3,埼玉県,356-0058,埼玉県,ふじみ野市,大井中央2-20-1,CES,パーソルマーケティング,ケーズホールディングス
2331,エディオン 宮崎本店,OPEN,2017/5/31,宮崎県,880-0905,宮崎県,宮崎市,中村西3-94-1,CES,パーソルマーケティング,株式会社エディオン
2341,ジョーシン 外環八尾,OPEN,2017/5/26,大阪府,581-0853,大阪府,八尾市,楽音寺1丁目93番,CES,リクルートスタッフィング,上新電機株式会社
