Shop ID,カテゴリ,取り扱い開始日,店舗名,一次代理店名,来店予約の公開有無,来店予約トップURL,店舗一覧ページ_掲出タイミング,店舗一覧ページ_来店予約リンクボタン中の文言,取り扱い状況,店舗一覧ページ_注釈の文言
0621,CES,2021/4/30,ジョーシン 大高イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=310&event_id=447,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0701,CES,2021/4/30,エディオン 豊田本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=537&event_id=674,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0711,CES,2021/4/30,エディオン 広島本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=535&event_id=672,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0721,CES,2021/4/30,エディオン 安城店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=531&event_id=668,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0731,CES,2021/4/30,エディオン 岡崎本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=512&event_id=649,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0741,CES,2021/4/30,エディオン 一宮本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=507&event_id=644,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0751,CES,2021/4/30,エディオン 伊丹店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=536&event_id=673,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0761,CES,2021/4/30,エディオン サントムーン柿田川店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=532&event_id=669,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0771,CES,2021/4/30,エディオン 中環東大阪店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=533&event_id=670,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
0781,CES,2021/4/30,エディオン 倉敷本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=534&event_id=671,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1141,CES,2021/4/30,ジョーシン 板橋前野店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=307&event_id=444,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1171,CES,2099/1/1,ジョーシン 伏見店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=305&event_id=442,,,,
