code,name
001903700,大谷地郵便局
001903710,室蘭築地郵便局
001903720,札幌北二十八条郵便局
001903730,札幌北三十三条郵便局
001903740,札幌東苗穂郵便局
001903750,琴似二条郵便局
001903760,札幌北七条西郵便局
001903770,札幌月寒中央通郵便局
001903780,夕張清陵郵便局
001903790,真駒内泉町郵便局
001903800,中の島南郵便局
001903810,野幌駅前郵便局
001903820,札幌本町郵便局
001903830,札幌北三十五条郵便局
001903840,札幌発寒十一条郵便局
001903850,札幌宮の沢郵便局
001903860,白石栄通郵便局
001903870,江別大麻郵便局
001903880,札幌青葉郵便局
001903890,札幌新琴似八条郵便局
001903900,千歳春日郵便局
001903910,江別大麻東町郵便局
001903920,札幌東郵便局
001903930,札幌拓北郵便局
001903940,手稲曙通郵便局
001903950,苫小牧中野郵便局
001903970,篠路駅前郵便局
001903980,厚別信濃郵便局
001903990,札幌屯田郵便局
001904000,手稲本町郵便局
001904010,札幌新川一条郵便局
001904020,白石北郷東郵便局
001904030,東月寒郵便局
001904040,札幌緑ケ丘郵便局
001904050,札幌北三十四条郵便局
001904060,札幌西野中郵便局
001904070,札幌北四十一条郵便局
001904080,札幌新琴似八条西郵便局
001904090,室蘭白鳥台郵便局
001904110,恵庭駅前郵便局
001904120,札幌平岸五条郵便局
001904130,札幌北二十四条西郵便局
001904140,札幌西野東郵便局
001904150,山鼻郵便局
001904160,江別大麻西郵便局
001904170,札幌栄町郵便局
001904180,札幌もみじ台北郵便局
001904190,北広島広葉郵便局
001904200,小樽赤岩郵便局
001904210,白石南郷北郵便局
001904220,札幌簾舞郵便局
001904230,札幌西野南郵便局
001904240,札幌白樺郵便局
001904250,札幌北郵便局
001904260,札幌西岡郵便局
001904270,苫小牧しらかば郵便局
001904280,恵庭漁町郵便局
001904290,札幌もみじ台南郵便局
001904300,札幌清田南郵便局
001904310,札幌新琴似一条郵便局
001904320,札幌伏古郵便局
001904330,札幌八軒東郵便局
001904340,札幌北二十九条西郵便局
001904350,札幌菊水元町郵便局
001904360,北広島元町郵便局
001904370,苫小牧新富郵便局
001904380,札幌澄川南郵便局
001904390,札幌北野郵便局
001904400,小樽長橋四郵便局
001904410,札幌新琴似十一条郵便局
001904420,札幌福住郵便局
001904430,札幌宮の沢西郵便局
001904440,札幌川沿郵便局
001904450,札幌もみじ台西郵便局
001904460,石狩花川北二条郵便局
001904470,札幌白石郵便局
001904480,手稲曙東郵便局
001904490,札幌西岡二条郵便局
001904500,札幌澄川六条郵便局
001904510,北広島里見郵便局
001904520,札幌西野八条郵便局
001904530,苫小牧木場郵便局
001904560,石狩花川南五条郵便局
001904570,札幌麻生郵便局
001904580,札幌太平郵便局
001904590,白石北郷二条郵便局
001904600,登別若草郵便局
001904610,千歳梅ヶ丘郵便局
001904620,苫小牧日吉郵便局
001904630,札幌北二十五条郵便局
001904640,札幌平岸六条郵便局
001904650,厚別西二条郵便局
001904660,苫小牧桜木郵便局
001904670,江別若草郵便局
001904680,札幌北野六条郵便局
001904690,札幌北三十八条郵便局
001904700,手稲富丘郵便局
001904710,札幌屯田七条郵便局
001904720,札幌芸術の森郵便局
001904730,札幌宮の森郵便局
001904750,札幌屯田四条郵便局
001904760,千歳自由ヶ丘郵便局
001904770,江別文京台郵便局
001904780,札幌北三条西郵便局
001904790,札幌福井郵便局
001904800,厚別上野幌郵便局
001904810,石狩市役所前郵便局
001904820,苫小牧澄川郵便局
001904830,千歳白樺郵便局
001904840,札幌伏古十一条郵便局
001904850,札幌二十四軒郵便局
001904860,札幌新琴似五条郵便局
001904870,札幌平岡郵便局
001904880,札幌里塚郵便局
001904890,恵庭恵み野郵便局
001904900,手稲新発寒郵便局
001904910,手稲前田郵便局
001904920,札幌北五十条郵便局
001904930,白石川下郵便局
001904940,厚別原始林通郵便局
001904950,野幌若葉郵便局
001904960,苫小牧明野郵便局
001904970,札幌北二条中郵便局
001904990,札幌南二条郵便局
001905000,石狩花川南八条郵便局
001905010,札幌北一条中郵便局
001905020,札幌北四十三条郵便局
001905030,登別新生郵便局
001905040,小樽銭函西郵便局
001905050,大谷地東郵便局
001905060,手稲稲積郵便局
001905070,札幌合同庁舎内郵便局
001905080,札幌北野通郵便局
001905090,札幌南沢郵便局
001905100,手稲星置駅前郵便局
001905110,札幌あいの里郵便局
001905120,北海道大学前郵便局
001905130,白石本通北郵便局
001905140,余市モイレ郵便局
001905150,北広島西の里郵便局
001905160,札幌丸井内郵便局
001905170,札幌新川二条郵便局
001905180,札幌北三十一条郵便局
001905190,手稲稲穂二条郵便局
001905200,札幌発寒駅前郵便局
001905210,苫小牧川沿郵便局
001905220,北海道庁赤れんが前郵便局
001905230,新札幌駅デュオ郵便局
001905240,千歳長都駅前郵便局
001905260,札幌東苗穂五条郵便局
001905270,札幌森林公園駅前郵便局
001905280,江別見晴台郵便局
001905290,札幌八軒一条郵便局
001905300,サッポロファクトリー内郵便局
001905320,札幌平岡公園郵便局
001905330,札幌澄川駅前郵便局
001905340,札幌新川四条郵便局
001905350,札幌新琴似七条郵便局
001905360,札幌藤ヶ丘郵便局
001905370,札幌美しが丘郵便局
001905390,札幌東苗穂十二条郵便局
001905400,野幌錦町郵便局
001905410,白石南郷一郵便局
001905420,札幌平和一条郵便局
001905430,輪厚郵便局
001905440,札幌石山郵便局
001905450,札幌あいの里三条郵便局
001905460,札幌羊ヶ丘通郵便局
001905470,札幌美しが丘南公園前郵便局
001905480,札幌真栄郵便局
001905500,恵庭柏木中通郵便局
001905510,札幌桑園駅前郵便局
001905550,丘珠郵便局
001905560,恵庭黄金郵便局
001905600,苫小牧ナナカマド郵便局
001905610,北広島中央六郵便局
001905620,石狩南高校前郵便局
001905630,千歳ヤマセミ郵便局
001905640,ウイングベイ小樽内郵便局
001905650,札幌大通公園前郵便局
001905670,千歳東郊郵便局
001905690,手稲駅前郵便局
001905700,白石南郷十八郵便局
001905730,石狩花川南一条郵便局
001905760,札幌屯田八条郵便局
001905770,札幌平岡イオン郵便局
001905780,札幌八軒西郵便局
001905790,朝里郵便局
001906010,イオンモール苫小牧内郵便局
001906020,苫小牧拓勇東郵便局
001910010,大津郵便局
001910020,広尾郵便局
001910030,帯広郵便局
001910040,利別郵便局
001910050,浦幌郵便局
001910060,豊頃郵便局
001910070,芽室郵便局
001910080,糠内郵便局
001910090,音更郵便局
001910100,大樹郵便局
001910110,本別郵便局
001910120,清水郵便局
001910130,大正郵便局
001910140,十勝高島郵便局
001910150,足寄郵便局
001910160,幕別郵便局
001910170,新得郵便局
001910180,十勝池田郵便局
001910190,御影郵便局
001910200,仙美里郵便局
001910210,上帯広郵便局
001910220,士幌郵便局
001910230,勇足郵便局
001910240,大誉地郵便局
001910250,鹿追郵便局
001910260,札内郵便局
001910270,屈足郵便局
001910280,清川郵便局
001910290,上美生郵便局
001910300,豊似郵便局
001910310,居辺郵便局
001910320,上札内郵便局
001910330,熊牛郵便局
001910350,瓜幕郵便局
001910370,帯広西二条郵便局
001910380,川西郵便局
001910390,上士幌郵便局
001910400,西帯広郵便局
001910410,厚内郵便局
001910430,芽登郵便局
001910450,中士幌郵便局
001910460,上浦幌郵便局
001910470,中札内郵便局
001910480,音調津郵便局
001910500,広野郵便局
001910520,駒場郵便局
001910530,石坂郵便局
001910540,尾田郵便局
001910550,帯広大通郵便局
001910590,美生郵便局
001910600,更別郵便局
001910610,忠類郵便局
001910620,美里別郵便局
001910640,帯広電信通郵便局
001910650,上更別郵便局
001910670,帯広鉄南郵便局
001910680,十勝野塚郵便局
001910690,帯広西八条郵便局
001910700,木野郵便局
001910710,吉野郵便局
001910790,ぬかびら源泉郷郵便局
001910810,十勝川温泉郵便局
001910820,音更大通郵便局
001910850,人舞郵便局
001910860,帯広東六条郵便局
001910870,豊頃駅前郵便局
001910880,帯広長崎屋内郵便局
001910890,帯広南町郵便局
001910910,鈴蘭郵便局
001910920,帯広緑ヶ丘郵便局
001910930,帯広西二条南郵便局
001910940,帯広西六条郵便局
001910950,帯広緑南郵便局
001910960,帯広柏林台郵便局
001910970,帯広東十一条郵便局
001910980,帯広西十三条郵便局
001910990,帯広西二十条郵便局
001911000,帯広大空郵便局
001911040,帯広開西郵便局
001911050,音更緑陽台郵便局
001911060,札内桜町郵便局
001911070,帯広自由が丘郵便局
001911080,帯広西十七条郵便局
001911090,帯広白樺郵便局
001911150,帯広つつじが丘郵便局
001920010,本厚岸郵便局
001920020,霧多布郵便局
001920030,標茶郵便局
001920040,釧路太田郵便局
001920050,釧路中央郵便局
001920060,白糠郵便局
001920070,昆布森郵便局
001920080,弟子屈郵便局
001920090,浜中郵便局
001920100,釧路北大通六郵便局
001920110,釧路西郵便局
001920120,阿寒郵便局
001920130,尾幌郵便局
001920140,音別郵便局
001920150,釧路南大通郵便局
001920160,厚岸郵便局
001920170,陸別郵便局
001920180,床潭郵便局
001920200,螺湾郵便局
