update,area1,area2,day,spot,ruby,atr,
,東海,愛知県,,名古屋市営地下鉄東山線 新栄町駅～千種駅間,なごやしえいちかてつひがしやません しんさかえまちえき～ちくさえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 星ヶ丘駅,なごやしえいちかてつひがしやません ほしがおかえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 星ヶ丘駅～一社駅間,なごやしえいちかてつひがしやません ほしがおかえき～いっしゃえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 千種駅,なごやしえいちかてつひがしやません ちぐさえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 千種駅～今池駅間,なごやしえいちかてつひがしやません ちぐさえき～いまいけえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 池下駅,なごやしえいちかてつひがしやません いけしたえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 池下駅～覚王山駅間,なごやしえいちかてつひがしやません いけしたえき～かくおうざんえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 東山公園駅,なごやしえいちかてつひがしやません ひがしやまこうえんえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 東山公園駅～星ヶ丘駅間,なごやしえいちかてつひがしやません ひがしやまこうえんえき～ほしがおかえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 伏見駅,なごやしえいちかてつひがしやません ふしみえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 伏見駅～栄駅間,なごやしえいちかてつひがしやません ふしみえき～さかええきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 本山駅,なごやしえいちかてつひがしやません もとやまえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 本山駅～東山公園駅間,なごやしえいちかてつひがしやません もとやまえき～ひがしやまこうえんえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 本陣駅～亀島駅間,なごやしえいちかてつひがしやません ほんじんえき～かめしまえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 名古屋駅,なごやしえいちかてつひがしやません なごやえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 名古屋駅～伏見駅間,なごやしえいちかてつひがしやません なごやえき～ふしみえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 金山駅,なごやしえいちかてつめいこうせん かなやまえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 金山駅～日比野駅間,なごやしえいちかてつめいこうせん かなやまえき～ひびのえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 港区役所駅,なごやしえいちかてつめいこうせん みなとくやくしょえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 港区役所駅～築地口駅間,なごやしえいちかてつめいこうせん みなとくやくしょえき～つきじぐちえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 築地口駅,なごやしえいちかてつめいこうせん つきじぐちえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄名港線 築地口駅～名古屋港駅間,なごやしえいちかてつめいこうせん つきじぐちえき～なごやこうえきかん,鉄道,
