update,manufacturer,Model ID,Oracle model id,WAREHOUSE_MODEL,Oracle WAREHOUSE_MODEL,device,memory,carrier,good_price,fair_price,poor_price
,Apple（iPad）,,99760000062195 ,iPad 10 64GB - GENERIC,IPAD 10 10.9 64GB - GENERIC,iPad（第10世代）10.9インチ,64GB,Generic," ¥28,800 "," ¥8,640 "," ¥2,880 "
,Apple（iPad）,,99760000075585 ,iPad 10 64GB - SOFTBANK,IPAD 10 10.9 64GB - SOFTBANK,iPad（第10世代）10.9インチ,64GB,Softbank," ¥28,800 "," ¥8,640 "," ¥2,880 "
,Apple（iPad）,,99760000033625,iPad 6 9.7 128GB - AU,IPAD 6 9.7 128GB - AU,iPad（第6世代）9.7インチ,128GB,au," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,99760000054660,IPAD 6 9.7 128GB - DOCOMO,IPAD 6 9.7 128GB - DOCOMO,iPad（第6世代）9.7インチ,128GB,docomo," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,27010000020392,iPad 6 9.7 128GB - GENERIC,IPAD 6 9.7 128GB - GENERIC,iPad（第6世代）9.7インチ,128GB,Generic," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,99760000054778,iPad 6 9.7 128GB - Softbank,IPAD 6 9.7 128GB - SOFTBANK,iPad（第6世代）9.7インチ,128GB,Softbank," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,99760000033628,iPad 6 9.7 32GB - AU,IPAD 6 9.7 32GB - AU,iPad（第6世代）9.7インチ,32GB,au," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,99760000054659,iPad 6 9.7 32GB - DoCoMo,IPAD 6 9.7 32GB - DOCOMO,iPad（第6世代）9.7インチ,32GB,docomo," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,47310000020388,iPad 6 9.7 32GB - GENERIC,IPAD 6 9.7 32GB - GENERIC,iPad（第6世代）9.7インチ,32GB,Generic," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,99760000054777,iPad 6 9.7 32GB - Softbank,IPAD 6 9.7 32GB - SOFTBANK,iPad（第6世代）9.7インチ,32GB,Softbank," ¥8,640 "," ¥2,590 ", ¥860 
,Apple（iPad）,,99760000054516,iPad 7 10.2 128GB - AU,IPAD 7 10.2 128GB - AU,iPad（第7世代）10.2インチ,128GB,au," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000054628,iPad 7 10.2 128GB - DoCoMo,IPAD 7 10.2 128GB - DOCOMO,iPad（第7世代）10.2インチ,128GB,docomo," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000036757,iPad 7 10.2 128GB - GENERIC,IPAD 7 10.2 128GB - GENERIC,iPad（第7世代）10.2インチ,128GB,Generic," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000054746,iPad 7 10.2 128GB - Softbank,IPAD 7 10.2 128GB - SOFTBANK,iPad（第7世代）10.2インチ,128GB,Softbank," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000056100,iPad 7 10.2 32GB - AU,IPAD 7 10.2 32GB - AU,iPad（第7世代）10.2インチ,32GB,au," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000056101,iPad 7 10.2 32GB - DoCoMo,IPAD 7 10.2 32GB - DOCOMO,iPad（第7世代）10.2インチ,32GB,docomo," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000036760,iPad 7 10.2 32GB - GENERIC,IPAD 7 10.2 32GB - GENERIC,iPad（第7世代）10.2インチ,32GB,Generic," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000056102,iPad 7 10.2 32GB - Softbank,IPAD 7 10.2 32GB - SOFTBANK,iPad（第7世代）10.2インチ,32GB,Softbank," ¥10,800 "," ¥3,240 "," ¥1,080 "
,Apple（iPad）,,99760000054494,iPad 8 10.2 128GB - AU,IPAD 8 10.2 128GB - AU,iPad（第8世代）10.2インチ,128GB,au," ¥13,500 "," ¥4,050 "," ¥1,350 "
,Apple（iPad）,,99760000054606,iPad 8 10.2 128GB - DoCoMo,IPAD 8 10.2 128GB - DOCOMO,iPad（第8世代）10.2インチ,128GB,docomo," ¥13,500 "," ¥4,050 "," ¥1,350 "
