shopid,shopname,zip,prefectures,city,dec28,dec29,dec30,dec31,jan1,jan2,jan3,jan4,jan5
6541,楽天モバイル イオンモール大阪ドームシティ店,550-0023,大阪府,大阪市,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業,通常営業
6551,ジョーシン 高槻店,569-1144,大阪府,高槻市,通常営業,通常営業,通常営業,10:00-18:30,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
6561,ケーズデンキ 熊本中央店,862-0971,熊本県,熊本市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
6581,楽天モバイル イオンモール大垣店,503-0933,岐阜県,大垣市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
6591,楽天モバイル イオンモール鶴見緑地店,538-0053,大阪府,大阪市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
6601,楽天モバイル イオンモール東員店,511-0255,三重県,員弁郡,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
6611,楽天モバイル イオンモール高岡店,933-0813,富山県,高岡市,通常営業,通常営業,通常営業,10:00-20:00,09:00-21:00,通常営業,通常営業,通常営業,通常営業
6621,ビックカメラ 水戸駅店,310-0015,茨城県,水戸市,通常営業,通常営業,通常営業,10:00-19:00,10:00-18:00,10:00-20:00,通常営業,通常営業,通常営業
6641,ヤマダデンキ LABI渋谷,150-0043,東京都,渋谷区,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-21:00,10:00-21:00,通常営業,通常営業
6661,ヤマダデンキ LABI LIFE SELECT 千里,560-0082,大阪府,豊中市,通常営業,通常営業,通常営業,10:00-20:00,休業,10:00-21:00,通常営業,通常営業,通常営業
6671,楽天モバイル ゆめタウン光の森店,869-1108,熊本県,菊池郡,通常営業,通常営業,通常営業,通常営業,09:00-20:00,通常営業,通常営業,通常営業,通常営業
6681,楽天モバイル 沖縄パルコシティ店,901-2123,沖縄県,浦添市,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,通常営業,通常営業,通常営業,通常営業
6701,ヤマダデンキ LABI東京八重洲,103-0028,東京都,中央区,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
6711,ヤマダデンキ テックランド横浜本店,233-0016,神奈川県,横浜市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-20:00,通常営業,通常営業,通常営業
