,ショップID,ショップ名,郵便番号,都道府県,市区町村,営業変更期間,営業
,4161,100満ボルト 札幌清田店,004-0839,北海道,札幌市,5/18～5/31,10:00～19:00
,4171,エディオン 垂水店,655-0052,兵庫県,神戸市,5/12～5/31,10:00～19:00
,4181,エディオン ニッケパークタウン店,675-0066,兵庫県,加古川市,5/12～5/31,10:00～19:00
,4211,ジョーシン 明石店,673-0028,兵庫県,明石市,5/12～,通常営業
,4261,コジマ×ビックカメラ 池上店,146-0082,東京都,大田区,4/25～,10:00～19:00
,4281,コジマ×ビックカメラ 葛飾店,124-0012,東京都,葛飾区,4/25～,10:00～19:00
,4291,コジマ×ビックカメラ 江戸川店,132-0021,東京都,江戸川区,4/25～,10:00～19:00
,4321,コジマ×ビックカメラ 大東店,574-0044,大阪府,大東市,5/12～,10:00～19:00
,4351,ビックカメラ 岡山駅前店,700-0023,岡山県,岡山市,5/17～5/31,10:00～20:00
,4401,エディオン イオンモール扶桑店,480-0105,愛知県,丹羽郡,10/1～,通常営業
,4421,ケーズデンキ 岡山大安寺店,700-0064,岡山県,岡山市,5/16～,10:00～19:00
,4491,エディオン 八尾南店,581-0036,大阪府,八尾市,5/12～,10:00～20:00
,4521,ジョーシン 淡路店,656-0122,兵庫県,南あわじ市,5/12～,10:00～19:00
,4531,ジョーシン 豊中インター店,561-0857,大阪府,豊中市,5/12～,通常営業
,4541,エディオン 泉北店,590-0111,大阪府,堺市,5/12～6/20,10:00～19:00
,4551,エディオン 小田井モゾワンダーシティ店,452-0817,愛知県,名古屋市,8/8～,10:00～20:00
,4561,エディオン イオンモール名古屋茶屋店,455-0858,愛知県,名古屋市,5/22～,10:00～20:00
,4591,楽天モバイル ららぽーと富士見店,354-8560,埼玉県,富士見市,4/28～,10:00～20:00
,4611,ケーズデンキ 名古屋北店,480-0202,愛知県,西春日井郡,6/21～,10:00～20:00
,4661,ケーズデンキ 一社店,465-0095,愛知県,名古屋市,6/21～,10:00～20:00
,4711,コジマ×ビックカメラ イオンモール広島府中店,735-0021,広島県,安芸郡府中町,6/21～,通常営業
,4721,コジマ×ビックカメラ 西友ひばりヶ丘店,202-0005,東京都,西東京市,4/25～5/11,10:00～19:00
,4741,エディオン 高辻シャンピアポート店,466-0058,愛知県,名古屋市,8/11～,10:00～20:00
,4761,ジョーシン 豊岡店,668-0013,兵庫県,豊岡市,5/12～,10:00～19:00
,4771,楽天モバイル イオンモール日の出店,190-0182,東京都,西多摩郡日の出町,5/12～,10:00～20:00
,4781,ジョーシン 神戸北町店,651-1233,兵庫県,神戸市,5/12～,通常営業
,4811,楽天モバイル つかしん店,661-0001,兵庫県,尼崎市,8/2～8/31,10:00～20:00
,4891,エディオン もりのみや店,540-0003,大阪府,大阪市,5/12～5/31,10:00～19:00
,4951,楽天モバイル イオンモール長久手店,480-1100,愛知県,長久手市,9/16～9/30,10:00～20:00
,4971,エディオン アルパーク南店,733-0833,広島県,広島市,6/18～,通常営業
,5041,エディオン イオンモール堺北花田店,591-8008,大阪府,堺市,6/26～,通常営業
,5051,エディオン イオンモール浜松市野店,435-0052,静岡県,浜松市,10/1～,通常営業
,5181,ジョーシン 三田ウッディタウン店,669-1321,兵庫県,三田市,5/12～,10:00～19:00
,5191,エディオン ららぽーとEXPOCITY店,565-0826,大阪府,吹田市,6/1～,10:00～20:00
,5201,ジョーシン 川西イオンタウン店,666-0124,兵庫県,川西市,5/12～,10:00～19:00　※土日祝：臨時休業
,5221,エディオン イオンモール神戸北店,651-1515,兵庫県,神戸市,5/12～5/31,10:00～19:00
,5251,エディオン 六地蔵MOMOテラス店,612-8002,京都府,京都市,5/12～,10:00～19:00　※土日祝：臨時休業
,5261,エディオン 京橋店,536-0016,大阪府,大阪市,6/12～,通常営業
,5291,楽天モバイル あまがさきキューズモール店,661-0976,兵庫県,尼崎市,5/12～,10:00～19:00　※週末のみ：臨時休業
,5301,エディオン 泉大津店,595-0004,大阪府,泉大津市,6/1～,10:00～19:00
,5331,100満ボルト 帯広本店,080-0831,北海道,帯広市,5/18～5/31,10:00～19:00
,5341,エディオン 東淡路店,533-0023,大阪府,大阪市,5/12～,10:00～19:00
,5441,エディオン 京都ファミリー店,615-0072,京都府,京都市,6/1～6/20,10:00～19:00
,5491,コジマ×ビックカメラ イオンモール堺鉄砲町店,590-0905,大阪府,堺市,6/1～6/20,10:00～20:00　※土日：臨時休業
,5541,楽天モバイル イオンモール多摩平の森店,191-0062,東京都,日野市,10/1～,通常営業
,5551,楽天モバイル イオンモール茨木店,567-0033,大阪府,茨木市,6/21～,通常営業
,5681,ビックカメラ 町田店,194-0013,東京都,町田市,4/25～5/11,臨時休業
,5701,ケーズデンキ クロスモール富田林店,584-0058,大阪府,富田林市,5/14～,10:00～19:00
,5721,楽天モバイル イオンモール宮崎店,880-0834,宮崎県,宮崎市,8/27～,10:00～20:00
,5731,楽天モバイル イオンモール神戸北店,651-1515,兵庫県,神戸市,8/2～,10:00～20:00
,5751,楽天モバイル イオンモール堺鉄砲町店,590-0905,大阪府,堺市,9/1～9/30,10:00～20:00
,5761,楽天モバイル イオンモール京都五条店,615-0035,京都府,京都市,8/2～,10:00～20:00
,5771,ビックカメラ 横浜西口店,220-0005,神奈川県,横浜市,4/23～,10:00～20:00
,5791,楽天モバイル ジョイナステラス二俣川店,241-0821,神奈川県,横浜市,4/25～5/11,10:00～20:00
,5801,楽天モバイル 横浜ジョイナス店,220-0005,神奈川県,横浜市,8/5～,通常営業
,5831,LABI1 日本総本店池袋,170-0013,東京都,豊島区,10/1～,10:00～21:00
,5851,LABI品川大井町,140-0011,東京都,品川区,6/21～,10:00～21:00
,5861,ヤマダデンキ LABI上大岡,233-0002,神奈川県,横浜市,4/25～,10:00～20:00
,5871,ヤマダデンキ テックランド札幌発寒店,063-0831,北海道,札幌市,5/17～5/31,10:00～19:00
,5901,楽天モバイル なんばウォーク店,542-0074,大阪府,大阪市,9/13～9/30,10:00～20:00
,5911,楽天モバイル イオンモールむさし村山店,208-0022,東京都,武蔵村山市,10/1～,10:00～21:00
,5941,楽天モバイル アリオ八尾店,581-0803,大阪府,八尾市,8/2～8/31,10:00～20:00
,5981,楽天モバイル イオンモールナゴヤドーム前店,461-0048,愛知県,名古屋市,6/21～,通常営業
,6001,ビックカメラ なんば店,542-0074,大阪府,大阪市,5/12～,10:00～20:00
,6011,楽天モバイル イオンモール福津店,811-3209,福岡県,福津市,8/2～,10:00～20:00
,6061,楽天モバイル イーアス高尾店,193-0834,東京都,八王子市,6/21～,通常営業
,6111,コジマ×ビックカメラ 函館店,041-0813,北海道,函館市,5/12～5/31,10:00～20:00
,6151,楽天モバイル イオンモール名取店,981-1227,宮城県,名取市,8/27～9/12,10:00～20:00
,6171,楽天モバイル イオンモール筑紫野店,818-0042,福岡県,筑紫野市,8/2～,10:00～20:00
,6181,ビックカメラ あべのキューズモール店,545-0052,大阪府,大阪市,10/1～,通常営業
,6191,ケーズデンキ アクロスプラザ八尾店,581-0023,大阪府,八尾市,6/15～,通常営業
,6201,ケーズデンキ カナートモール和泉府中店,595-0021,大阪府,泉大津市,5/20～,10:00～19:00
,6221,楽天モバイル イオンモール東浦店,470-2102,愛知県,東浦町,6/21～,通常営業
,6251,コジマ×ビックカメラ イオン西岡店,062-0033,北海道,札幌市,5/12～5/31,10:00～20:00
,6261,ビックカメラ 池袋本店パソコン館,170-0013,東京都,豊島区,5/12～,10:00～20:00
,6281,ビックカメラ 渋谷ハチ公口店,150-0043,東京都,渋谷区,4/25～5/11,11:00～20:00
,6291,ビックカメラ 京王調布店,182-0026,東京都,調布市,4/25～,10:00～20:00
,6371,ビックカメラ 新宿西口店,160-0023,東京都,新宿区,4/25～,10:00～20:00
,6391,ビックカメラ 名古屋JRゲートタワー店,450-6610,愛知県,名古屋市,5/29～,10:00～20:00　※土日：臨時休業
,6401,ビックカメラ 立川店,190-0012,東京都,立川市,5/12～,10:00～20:00
,6441,ヤマダデンキ LABI三宮,650-0021,兵庫県,神戸市,5/12～,10:00～19:00
,6451,ビックカメラ 赤坂見附駅店,107-0052,東京都,港区,6/21～,10:00～21:00
,6461,楽天モバイル イオンモール草津店,525-0067,滋賀県,草津市,8/8～8/31,10:00～20:00
,6471,楽天モバイル ららぽーと和泉店,594-1157,大阪府,和泉市,8/2～,10:00～20:00
,6481,ビックカメラ 聖蹟桜ヶ丘駅店,206-0011,東京都,多摩市,4/25～,10:00～20:00
,6491,エディオン なんば本店,542-0076,大阪府,大阪市,5/12～,11:00～20:00
,6501,楽天モバイル イオンモール久御山店,613-0024,京都府,久世郡,8/20～,10:00～20:00
,6511,楽天モバイル イオンモール幕張新都心店,261-0024,千葉県,千葉市,5/1～,10:00～20:00
,6531,楽天モバイル セブンパークアリオ柏店,277-0922,千葉県,柏市,7/12～,10:00～20:00
,6541,楽天モバイル イオンモール大阪ドームシティ店,550-0023,大阪府,大阪市,8/2～,10:00～20:00
,6551,ジョーシン 高槻店,569-1144,大阪府,高槻市,5/12～,臨時休業
,6571,楽天モバイル 岸和田カンカンベイサイドモール店,596-0014,大阪府,岸和田市,9/18～9/19,臨時休業
,6581,楽天モバイル イオンモール大垣店,503-0933,岐阜県,大垣市,8/20～,10:00～20:00
,6591,楽天モバイル イオンモール鶴見緑地店,538-0053,大阪府,大阪市,8/2～,10:00～20:00
,6601,楽天モバイル イオンモール東員店,511-0255,三重県,員弁郡,10/1～,通常営業
,6611,楽天モバイル イオンモール高岡店,933-0813,富山県,高岡市,5/16,臨時休業
,6641,ヤマダデンキ LABI渋谷,150-0043,東京都,渋谷区,6/25～7/25,10:00～21:00
,6651,ヤマダデンキ LABI1 なんば,556-0011,大阪府,大阪市,5/14～,10:00～20:00
,6661,ヤマダデンキ LABI LIFE SELECT 千里,560-0082,大阪府,豊中市,6/22～,10:00～21:00
,6681,楽天モバイル 沖縄パルコシティ店,901-2123,沖縄県,浦添市,9/13～9/30,10:00～20:00
,6691,ヤマダデンキ LABI新橋,105-0004,東京都,港区,6/22～,10:00～21:00　※日祝：10:00～20:00
,6701,ヤマダデンキ LABI東京八重洲,103-0028,東京都,中央区,6/22～,10:00～21:00　※日祝：10:00～20:00
,6711,ヤマダデンキ テックランド横浜本店,233-0016,神奈川県,横浜市,4/25～,10:00～20:00
,6751,ビックカメラ アリオ八尾店,581-0803,大阪府,八尾市,8/29～9/12,10:00～20:00
,6851,楽天モバイル ららぽーと甲子園店,663-8178,兵庫県,西宮市,6/1～6/30,10:00～20:00　※土日祝：臨時休業
,6871,楽天モバイル イオンモール伊丹昆陽店,664-0027,兵庫県,伊丹市,8/2～,10:00～20:00
,6921,ヤマダデンキ LABI津田沼,275-0026,千葉県,習志野市,10/7～,通常営業
,6941,ヤマダデンキ LABI LIFE SELECT 立川,190-0012,東京都,立川市,10/1～,通常営業
,6951,楽天モバイル ユニモちはら台店,290-0143,千葉県,市原市,9/1～9/12,10:00～20:00
,7001,楽天モバイル イオンモール新瑞橋店,457-0012,愛知県,名古屋市,6/21～,通常営業
,7021,ヤマダデンキ LABI吉祥寺,180-0003,東京都,武蔵野市,4/25～,10:00～19:00
,7031,ヤマダデンキ テックランド東広島店,739-0024,広島県,東広島市,5/17～5/31,10:00～19:00
,7041,楽天モバイル 神戸ハーバーランドumie店,650-0044,兵庫県,神戸市,6/1～,10:00～20:00　※土日：臨時休業
,7111,ビックロ ビックカメラ新宿東口店,160-0022,東京都,新宿区,6/21～,10:00～21:00
,7161,楽天モバイル アクロスモール新鎌ヶ谷店,273-0107,千葉県,鎌ヶ谷市,10/1～,通常営業
,7181,楽天モバイル イオンモール木曽川店,493-0001,愛知県,一宮市,6/21～,通常営業
,7211,楽天モバイル アリオ北砂店,136-0073,東京都,江東区,5/15～,10:00～20:00
,7221,楽天モバイル イオンモール浜松志都呂店,432-8069,静岡県,浜松市,10/1～,通常営業
,7251,家電住まいる館YAMADA福岡志免本店,811-2207,福岡県,糟屋郡,5/12～5/31,10:00～19:00
,7311,楽天モバイル イオンモール姫路大津店,671-1146,兵庫県,姫路市,10/1～,10:00～21:00
,7331,楽天モバイル テラスモール松戸店,270-0023,千葉県,松戸市,5/12～8/22,10:00～20:00
,7341,楽天モバイル ららぽーと立川立飛店,190-0015,東京都,立川市,5/14～,通常営業
,7361,楽天モバイル ららぽーとEXPOCITY店,565-0826,大阪府,吹田市,6/1～,10:00～20:00　※土日祝：臨時休業
,7401,楽天モバイル アリオ西新井店,123-0843,東京都,足立区,5/15～,10:00～20:00
,7421,ビックカメラ 有楽町店,100-0006,東京都,千代田区,6/21～,10:00～21:00
,7431,楽天モバイル mozoワンダーシティ店,452-0817,愛知県,名古屋市,6/21～,通常営業
,7471,ビックカメラ 日本橋三越,103-0022,東京都,中央区,4/25～5/11,臨時休業
,7491,ビックカメラ 池袋本店,170-0013,東京都,豊島区,4/27～5/11,10:00～19:00
,7521,楽天モバイル ニッケコルトンプラザ市川店,272-0015,千葉県,市川市,4/20～,10:00～20:00
,7551,楽天モバイル 有明ガーデン店,135-0063,東京都,江東区,5/21～,通常営業
,7571,YAMADA IKEBUKUROアウトレット・リユース&TAXFREE館,170-0013,東京都,豊島区,4/25～5/11,10:00～19:00
,7601,ヨドバシカメラ マルチメディア梅田店,530-0011,大阪府,大阪市,5/11～,9:30～21:00
,7641,せいでん さんちか店,650-0021,兵庫県,神戸市,6/21～,通常営業
,7661,ヤマダデンキ LABI新宿西口館,160-0023,東京都,新宿区,6/21～,10:00～21:00
,7671,家電住まいる館YAMADA港北センター店,224-0003,神奈川県,横浜市,4/25～,10:00～20:00
,7681,家電住まいる館YAMADA幕張店,262-0032,千葉県,千葉市,4/25～,10:00～20:00
,7691,家電住まいる館YAMADA横浜泉店,245-0018,神奈川県,横浜市,4/25～,10:00～20:00
,7701,楽天モバイル ららぽーと愛知東郷店,470-0186,愛知県,愛知郡東郷町,5/12～,10:00～20:00
,7702,エディオン 茨木藤の里店,567-0054,大阪府,茨木市,5/12～5/31,10:00～19:00
,7718,コジマ×ビックカメラ 足立加平店,121-0055,東京都,足立区,4/25～,10:00～19:00
,7722,エディオン イオンタウン岡崎美合店,444-0802,愛知県,岡崎市,9/1～,10:00～19:00
,7730,エディオン イズミヤ長岡店,617-0826,京都府,長岡京市,6/12～,通常営業
,7733,ジョーシン 岸和田店,596-0826,大阪府,岸和田市,5/12～,10:00～19:00
,7743,ヤマダデンキ LABI大船,247-0006,神奈川県,横浜市,4/25～,10:00～20:00
,7744,コジマ×ビックカメラ イオンタウン茨木太田店,567-0014,大阪府,茨木市,5/12～,10:00～19:00
,7745,エディオン 京都四条河原町店,600-8001,京都府,京都市,6/1～,10:00～20:00
,7747,エディオン 岸和田店,596-0076,大阪府,岸和田市,5/12～,10:00～19:00
,7749,エディオン 三田ウッディタウン店,669-1321,兵庫県,三田市,5/12～,10:00～19:00
,7751,楽天モバイル イオンモール鹿児島店,891-0115,鹿児島県,鹿児島市,9/12～9/30,10:00～20:00
,7752,楽天モバイル 六本木店,106-0032,東京都,港区,6/21～,通常営業
,7756,楽天モバイル 名古屋ユニモール店,450-0002,愛知県,名古屋市,5/22～,10:00～20:00
,7759,ヤマダデンキ テックランドイオンモール川口店,333-0834,埼玉県,川口市,10/8～,通常営業
,7765,楽天モバイル イオンモール木更津店,292-0835,千葉県,木更津市,6/21～,10:00～20:00
,7770,楽天モバイル イオンモール甲府昭和店,409-3852,山梨県,中巨摩郡昭和町,8/20～9/12,10:00～19:00
,7780,楽天モバイル ブルメール舞多聞店,655-0052,兵庫県,神戸市,8/2～8/31,10:00～20:00
,7796,楽天モバイル イオンモール福岡店,811-2303,福岡県,糟屋郡粕屋町,8/2～,10:00～20:00
,7798,楽天モバイル イオンモール大日店,570-0016,大阪府,守口市,10/2～,通常営業
,7801,楽天モバイル イオンモール上尾店,362-0034,埼玉県,上尾市,8/2～,10:00～20:00
,7804,楽天モバイル ゆめタウン博多店,812-0055,福岡県,福岡市,10/1～,通常営業
,7805,楽天モバイル ゆめタウン廿日市店,738-0023,広島県,廿日市,9/13～,通常営業
,7831,楽天モバイル イオンモール沖縄ライカム店,901-2306,沖縄県,中頭郡北中城村,10/1～,通常営業
